source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error
3348203882302796160,86.57517256393272,15.752036136170423,0.5168653161816747,0.029651893,9.665519,11.197414,8.466918,2.7304964,1.5318956,1.1986008,23.466358,0.6298298
3403577654400604416,85.93767300858477,23.120599867086124,0.6735798696817143,0.03075093,9.666951,9.90504,9.248582,0.6564579,0.23808861,0.4183693,,
3445381503102434176,81.33033596654245,28.258813190099445,0.968538005180436,0.015186988,9.67091,10.6872225,8.681057,2.0061655,1.0163126,0.9898529,34.63737,0.71048826
3427948192191242496,89.27008721988503,24.143950919661574,0.7215264192853954,0.020488111,9.6718025,11.0846615,8.51244,2.5722218,1.412859,1.1593628,70.94622,0.69816065
3440931504667899008,85.38898444204129,25.813885290653534,0.6156499241840044,0.022513898,9.674271,10.617689,8.720793,1.8968964,0.9434185,0.95347786,,
3423693395726613504,90.6524427887276,22.23414673030538,0.24872887162188878,0.053762846,9.675486,10.396838,8.828489,1.5683489,0.7213526,0.8469963,,
3348175501158948352,86.57129435184656,15.616057668098442,0.3359623649963709,0.067091085,9.676928,12.845153,8.191338,4.6538153,3.1682253,1.48559,,
3443095721508835072,86.49081379672265,27.9525581431818,0.7469546495344542,0.025060916,9.67744,9.757668,9.490139,0.26752853,0.08022785,0.18730068,,
3418855475845313024,77.55986188970546,24.074775061197048,0.4504992283361984,0.041656587,9.6782,11.114427,8.517615,2.5968113,1.4362268,1.1605844,,
3414220484578264192,79.0403109922477,21.645500694297994,0.5974695765431837,0.060288824,9.681029,13.028404,8.163253,4.8651514,3.347375,1.5177765,,
3426480893924038272,90.55215639217734,24.67566464420329,0.7368555095932031,0.022752684,9.681805,10.962313,8.57112,2.3911924,1.280508,1.1106844,53.243637,0.41131803
3442866645132582016,84.33123864367013,28.83042226797504,0.8839776935920097,0.015744602,9.683186,10.604884,8.737249,1.8676348,0.9216986,0.9459362,-35.53383,0.8477425
3424358737701052160,88.17563474942736,22.451883574021238,0.3537482052237588,0.101915,9.684495,10.481501,8.801202,1.6802988,0.79700565,0.88329315,6.8315163,0.38670453
3397230899624735232,82.3507666388947,17.124730603869118,0.3771857742854972,0.027218565,9.690335,11.126321,8.5271015,2.5992193,1.4359856,1.1632338,-6.5334167,0.32432014
3401895504689234688,79.88388042259812,20.480617599903297,0.5882819775970305,0.024582416,9.690578,11.236704,8.495227,2.741477,1.5461254,1.1953516,27.715792,1.0160518
3403879440280653056,82.32878587199636,21.500449042464176,0.8302526348661792,0.020085528,9.691919,10.523648,8.7965975,1.7270508,0.83172894,0.89532185,-30.337812,4.9072404
3396481681232932480,86.93011096717645,17.063247256698308,0.6273658547886148,0.019814223,9.696711,10.654694,8.737829,1.9168644,0.957983,0.9588814,42.66419,0.27543867
3399237160451196928,86.40873091708043,18.964911982226127,0.8934387727903973,0.025427362,9.69783,9.7331295,9.576588,0.15654182,0.0352993,0.12124252,,
3396599500778066816,85.275017141408,16.78875546194017,0.9721408100767072,0.022734797,9.700628,10.692871,8.72311,1.9697609,0.9922428,0.9775181,-23.568935,0.3028545
3416778464020118400,83.06893431551327,24.68815762666584,0.8808025287458002,0.052234672,9.700675,12.202516,8.288733,3.913783,2.5018406,1.4119425,,
3402752127329536896,83.63696503695789,20.169001435152275,0.8521683035224109,0.019590579,9.701122,10.365871,8.911121,1.4547501,0.66474915,0.7900009,-0.61579144,0.20330776
3399950743497976448,86.53994040335147,20.428386191377328,0.9802631357959461,0.020940866,9.702972,10.407524,8.885761,1.5217628,0.7045517,0.81721115,34.21964,0.12776066
3424921683359233152,89.59192311375912,23.75637207811372,0.8284686406622961,0.023161482,9.704111,11.077471,8.571599,2.5058718,1.3733597,1.1325121,10.29361,0.1610153
3441706243750932864,84.98251255146775,27.4822571894581,0.5605905642582902,0.02542567,9.707198,9.901407,9.347287,0.55412006,0.1942091,0.35991096,,
3408784258571398656,76.08635032383323,20.51809652191291,0.8236769101185507,0.022605142,9.708402,10.878314,8.648742,2.2295723,1.1699123,1.05966,46.292377,0.56570286
3428621063247110912,86.72003349112545,24.872763373492475,0.21535647558124185,0.032495514,9.709443,11.789907,8.388736,3.4011717,2.0804644,1.3207073,8.81422,2.784946
3349847411669078144,87.97973096448844,16.642395165498503,0.5138153336461618,0.019399736,9.709824,10.856544,8.661759,2.1947842,1.1467199,1.0480642,19.624958,0.22543861
3400596431701024640,80.49245464678705,18.266410592051283,0.3706599692335594,0.029506829,9.710737,11.4042635,8.51088,2.893383,1.6935263,1.1998568,,
3350618238037911040,89.83331459126336,18.778455221356566,0.6263238877894619,0.033628166,9.715296,11.69034,8.408571,3.2817688,1.9750443,1.3067245,-9.787191,0.4045983
3399361340843301248,86.2022762351604,19.778881088041764,0.4586259740055838,0.03125467,9.717674,11.254152,8.536727,2.7174253,1.536478,1.1809473,42.472885,0.71896553
3415161288574498304,76.41949787890205,21.77714640508318,0.5140096474220354,0.03443782,9.720901,11.632328,8.428157,3.2041712,1.9114275,1.2927437,-86.0489,0.31918368
3403764335157885952,83.69602319419737,21.812199083795196,0.9143701691429321,0.021717241,9.722519,10.648268,8.780711,1.8675566,0.9257488,0.94180775,-6.948885,0.43734735
3397552468119264128,85.081672851329,17.891954701914592,0.7785648567341517,0.04440518,9.725654,10.406892,8.925309,1.4815826,0.6812382,0.80034447,5.962949,2.2385194
3399312446935659392,86.37986183843765,19.39648291105172,0.8956410211298963,0.031160457,9.725987,9.739971,9.656643,0.08332825,0.0139837265,0.06934452,,
3398268353269957376,86.34120840726725,17.881116957585977,0.4134928574963938,0.023193281,9.7263975,10.680509,8.7708235,1.9096851,0.9541111,0.95557404,,
3404114151653015424,82.43523685956275,22.79040789948657,0.7313647672440315,0.021642866,9.728279,10.7513075,8.736843,2.0144644,1.0230284,0.991436,-21.157028,0.36805373
3396512300057720576,85.85668075064983,17.02270837722642,0.5376105849001721,0.039361298,9.730069,12.144748,8.348571,3.796177,2.4146786,1.3814983,,
3427852332820143744,89.0494728861636,23.9861060963423,0.674305632840878,0.027973562,9.732747,11.344076,8.5166855,2.8273907,1.6113291,1.2160616,59.487926,0.5740864
3398958468616422528,88.65110484463719,19.719210703613694,0.4295319435488696,0.024141587,9.7352085,11.0733385,8.6113825,2.461956,1.33813,1.123826,46.18041,0.26570186
3399016536572950400,89.04064236375605,20.282695966708086,0.8128144491328437,0.016389174,9.743155,10.65205,8.811057,1.8409929,0.9088955,0.93209743,15.327589,0.344554
3429223492539143552,86.6189843241994,25.60990073839836,0.8199730813378332,0.020001618,9.750286,10.608974,8.843076,1.7658987,0.85868835,0.90721035,7.393775,0.38890404
